Date,Clicks,Impressions,CTR,Position
2024-10-10,2,432,0.46%,25.5
2024-10-11,5,390,1.28%,26.2
2024-10-12,6,415,1.45%,24.6
2024-10-13,6,424,1.42%,26.5
2024-10-14,8,531,1.51%,28.3
2024-10-15,4,539,0.74%,26.8
2024-10-16,5,442,1.13%,25.3
2024-10-17,2,470,0.43%,22.9
2024-10-18,5,492,1.02%,28.7
2024-10-19,6,450,1.33%,28.8
2024-10-20,8,512,1.56%,30.2
2024-10-21,4,543,0.74%,27.6
2024-10-22,5,527,0.95%,30.7
2024-10-23,8,574,1.39%,30.2
2024-10-24,4,530,0.75%,27.7
2024-10-25,3,411,0.73%,28.7
2024-10-26,5,460,1.09%,28
2024-10-27,4,409,0.98%,30.2
2024-10-28,7,558,1.25%,30.2
2024-10-29,1,595,0.17%,29.8
2024-10-30,2,450,0.44%,29.7
2024-10-31,9,514,1.75%,27.7
2024-11-01,4,606,0.66%,33.3
2024-11-02,5,574,0.87%,31.2
2024-11-03,4,681,0.59%,32.9
2024-11-04,4,657,0.61%,33.6
2024-11-05,5,552,0.91%,33.6
2024-11-06,8,615,1.3%,30.6
2024-11-07,8,650,1.23%,32.4
2024-11-08,9,650,1.38%,32.1
2024-11-09,7,708,0.99%,33.8
2024-11-10,9,747,1.2%,32.2
2024-11-11,5,733,0.68%,31.4
2024-11-12,6,756,0.79%,30.3
2024-11-13,10,750,1.33%,31.2
2024-11-14,12,663,1.81%,30.1
2024-11-15,4,618,0.65%,34
2024-11-16,1,554,0.18%,35.6
2024-11-17,7,618,1.13%,32.7
2024-11-18,5,631,0.79%,33.8
2024-11-19,4,643,0.62%,33.1
2024-11-20,4,762,0.52%,36.3
2024-11-21,6,635,0.94%,33.3
2024-11-22,3,623,0.48%,33.2
2024-11-23,5,550,0.91%,33.6
2024-11-24,1,664,0.15%,38.3
2024-11-25,7,756,0.93%,36.3
2024-11-26,4,558,0.72%,30.3
2024-11-27,9,591,1.52%,30.3
2024-11-28,8,545,1.47%,34.5
2024-11-29,7,639,1.1%,35.1
2024-11-30,6,609,0.99%,34.8
2024-12-01,3,614,0.49%,34.9
2024-12-02,10,650,1.54%,30.6
2024-12-03,5,600,0.83%,33.2
2024-12-04,10,619,1.62%,34.7
2024-12-05,3,643,0.47%,35.6
2024-12-06,4,622,0.64%,33.4
2024-12-07,4,582,0.69%,35.1
2024-12-08,5,601,0.83%,34.5
2024-12-09,5,661,0.76%,34.9
2024-12-10,4,589,0.68%,33
2024-12-11,5,624,0.8%,34.8
2024-12-12,2,514,0.39%,32.1
2024-12-13,4,476,0.84%,33.6
2024-12-14,3,402,0.75%,36.2
2024-12-15,5,523,0.96%,32.8
2024-12-16,5,535,0.93%,33.9
2024-12-17,8,539,1.48%,31
2024-12-18,8,504,1.59%,29.9
2024-12-19,6,508,1.18%,31.3
2024-12-20,6,492,1.22%,32.9
2024-12-21,1,494,0.2%,32.7
2024-12-22,8,522,1.53%,34
2024-12-23,2,562,0.36%,33.4
2024-12-24,5,422,1.18%,29.8
2024-12-25,2,406,0.49%,33.9
2024-12-26,2,462,0.43%,30.2
2024-12-27,5,422,1.18%,29.4
2024-12-28,2,409,0.49%,30.4
2024-12-29,5,454,1.1%,34.1
2024-12-30,7,452,1.55%,33
2024-12-31,4,378,1.06%,34.5
2025-01-01,5,405,1.23%,29.4
2025-01-02,3,406,0.74%,29.8
2025-01-03,5,455,1.1%,29.3
2025-01-04,1,436,0.23%,28.6
2025-01-05,4,394,1.02%,30.5
2025-01-06,4,471,0.85%,31.2
2025-01-07,9,430,2.09%,26.6
2025-01-08,5,447,1.12%,27.6
2025-01-09,5,503,0.99%,24.6
2025-01-10,3,402,0.75%,25.6
2025-01-11,4,380,1.05%,26.6
2025-01-12,5,486,1.03%,24.7
2025-01-13,9,531,1.69%,25.6
2025-01-14,10,470,2.13%,20.9
2025-01-15,4,528,0.76%,25.7
2025-01-16,5,401,1.25%,20.9
2025-01-17,9,433,2.08%,24.2
2025-01-18,4,473,0.85%,29.2
2025-01-19,6,575,1.04%,27.8
2025-01-20,7,546,1.28%,25.8
2025-01-21,7,478,1.46%,23.7
2025-01-22,3,584,0.51%,27.2
2025-01-23,9,573,1.57%,23.2
2025-01-24,6,520,1.15%,24.1
2025-01-25,8,475,1.68%,23.6
2025-01-26,4,507,0.79%,26.9
2025-01-27,10,482,2.07%,24.3
2025-01-28,9,485,1.86%,23.5
2025-01-29,5,501,1%,25.2
2025-01-30,5,490,1.02%,24.4
2025-01-31,4,574,0.7%,27.4
2025-02-01,2,506,0.4%,30.6
2025-02-02,11,541,2.03%,28.3
2025-02-03,3,591,0.51%,27.3
2025-02-04,7,620,1.13%,29.7
2025-02-05,7,622,1.13%,29.5
2025-02-06,9,621,1.45%,27.6
2025-02-07,9,530,1.7%,27.9
2025-02-08,3,488,0.61%,28
2025-02-09,7,561,1.25%,23.7
2025-02-10,5,562,0.89%,23.6
2025-02-11,5,569,0.88%,24.9
2025-02-12,10,538,1.86%,20.1
2025-02-13,4,600,0.67%,21.6
2025-02-14,7,518,1.35%,28.9
2025-02-15,6,531,1.13%,26.6
2025-02-16,7,543,1.29%,24.6
2025-02-17,8,591,1.35%,25.4
2025-02-18,8,621,1.29%,23
2025-02-19,10,751,1.33%,28.6
2025-02-20,14,773,1.81%,30.7
2025-02-21,6,707,0.85%,31.1
2025-02-22,8,646,1.24%,29.1
2025-02-23,13,780,1.67%,29.9
2025-02-24,9,690,1.3%,28.5
2025-02-25,4,682,0.59%,25
2025-02-26,7,734,0.95%,28.5
2025-02-27,9,722,1.25%,30.2
2025-02-28,7,603,1.16%,27.1
2025-03-01,4,814,0.49%,33.6
2025-03-02,4,603,0.66%,27.3
2025-03-03,11,670,1.64%,28
2025-03-04,7,672,1.04%,26
2025-03-05,7,669,1.05%,27.4
2025-03-06,9,615,1.46%,24.3
2025-03-07,4,644,0.62%,25.9
2025-03-08,2,484,0.41%,27.2
2025-03-09,3,477,0.63%,24.3
2025-03-10,7,672,1.04%,24.2
2025-03-11,4,618,0.65%,23.1
2025-03-12,9,625,1.44%,23
2025-03-13,7,535,1.31%,27.7
2025-03-14,5,578,0.87%,26.6
2025-03-15,3,497,0.6%,28.8
2025-03-16,3,495,0.61%,26
2025-03-17,9,589,1.53%,22.9
2025-03-18,7,665,1.05%,26
2025-03-19,6,693,0.87%,29.1
2025-03-20,6,638,0.94%,28.6
2025-03-21,8,705,1.13%,32.9
2025-03-22,9,670,1.34%,31.8
2025-03-23,8,1950,0.41%,15.1
2025-03-24,6,915,0.66%,30.3
2025-03-25,5,710,0.7%,26.4
2025-03-26,5,798,0.63%,23.3
2025-03-27,6,670,0.9%,28.1
2025-03-28,7,689,1.02%,21.9
2025-03-29,12,813,1.48%,19.7
2025-03-30,5,673,0.74%,26
2025-03-31,9,684,1.32%,25.9
2025-04-01,1,722,0.14%,23.3
2025-04-02,10,754,1.33%,16.3
2025-04-03,3,562,0.53%,21.3
2025-04-04,5,493,1.01%,24.4
2025-04-05,3,429,0.7%,22.1
2025-04-06,8,473,1.69%,23
2025-04-07,6,517,1.16%,20.8
2025-04-08,6,514,1.17%,18.9
2025-04-09,12,458,2.62%,19.9
2025-04-10,4,449,0.89%,18.7
2025-04-11,5,392,1.28%,21.9
2025-04-12,0,423,0%,23.7
2025-04-13,5,519,0.96%,25.2
2025-04-14,4,531,0.75%,23
2025-04-15,8,479,1.67%,23.1
2025-04-16,9,446,2.02%,21.5
2025-04-17,4,435,0.92%,21.4
2025-04-18,2,383,0.52%,19.8
2025-04-19,2,418,0.48%,21.7
2025-04-20,6,522,1.15%,26
2025-04-21,4,491,0.81%,25.1
2025-04-22,7,550,1.27%,21.8
2025-04-23,12,627,1.91%,22
2025-04-24,2,586,0.34%,22.9
2025-04-25,5,485,1.03%,22.2
2025-04-26,8,457,1.75%,21.5
2025-04-27,7,464,1.51%,23.5
2025-04-28,5,556,0.9%,22.6
2025-04-29,7,509,1.38%,22.4
2025-04-30,9,536,1.68%,23.7
2025-05-01,9,643,1.4%,24.6
2025-05-02,10,542,1.85%,22.3
2025-05-03,3,526,0.57%,25.5
2025-05-04,6,552,1.09%,26
2025-05-05,3,609,0.49%,26
2025-05-06,2,574,0.35%,27
2025-05-07,7,674,1.04%,24.3
2025-05-08,13,664,1.96%,19
2025-05-09,6,592,1.01%,22.5
2025-05-10,2,493,0.41%,23.5
2025-05-11,4,564,0.71%,26.1
2025-05-12,5,576,0.87%,25.8
2025-05-13,7,601,1.16%,25.6
2025-05-14,7,561,1.25%,26.1
2025-05-15,6,527,1.14%,22.7
2025-05-16,3,619,0.48%,21.3
2025-05-17,6,589,1.02%,19.8
2025-05-18,1,598,0.17%,23.1
2025-05-19,6,664,0.9%,21.2
2025-05-20,7,572,1.22%,22.9
2025-05-21,5,653,0.77%,26.1
2025-05-22,5,550,0.91%,22.9
2025-05-23,7,615,1.14%,24.7
2025-05-24,4,556,0.72%,24.3
2025-05-25,3,712,0.42%,32.4
2025-05-26,7,658,1.06%,22.4
2025-05-27,6,605,0.99%,23.1
2025-05-28,5,600,0.83%,21
2025-05-29,5,683,0.73%,24.4
2025-05-30,3,657,0.46%,27.2
2025-05-31,2,580,0.34%,28.8
2025-06-01,5,666,0.75%,27.5
2025-06-02,2,649,0.31%,23.6
2025-06-03,3,570,0.53%,22.1
2025-06-04,2,687,0.29%,25
2025-06-05,3,533,0.56%,23.5
2025-06-06,5,589,0.85%,26.5
2025-06-07,4,518,0.77%,25.1
2025-06-08,3,561,0.53%,25.9
2025-06-09,5,647,0.77%,25.1
2025-06-10,11,584,1.88%,22.7
2025-06-11,6,521,1.15%,22.6
2025-06-12,3,595,0.5%,24.6
2025-06-13,8,501,1.6%,22.5
2025-06-14,4,601,0.67%,28.4
2025-06-15,1,569,0.18%,25.5
2025-06-16,7,625,1.12%,24.8
2025-06-17,9,591,1.52%,24.1
2025-06-18,2,603,0.33%,22.2
2025-06-19,7,669,1.05%,23.6
