Top queries,Clicks,Impressions,CTR,Position
nic haralambous,168,654,25.69%,1.48
cheesecake theory,34,502,6.77%,3.1
minki van der westhuizen nude,30,346,8.67%,9.47
nicholas haralambous,28,605,4.63%,5.46
snowflake society,26,1034,2.51%,5.69
camel new packaging,26,270,9.63%,3.43
nobody gives a shit about me,22,668,3.29%,4.58
mike joubert,20,643,3.11%,5.48
michael smollan,18,447,4.03%,5.66
parktown prawn,17,2375,0.72%,13.33
nobody gives a shit,15,1500,1%,7.9
nobody gives a shit about you,15,367,4.09%,4.13
minki van der westhuizen naked,15,228,6.58%,8.44
why do people turn off blue ticks,12,358,3.35%,5.11
how to kill a parktown prawn,12,165,7.27%,5.09
no one gives a shit about me,11,799,1.38%,6.89
pronto condoms,11,321,3.43%,4.92
achievement dysmorphia,8,332,2.41%,5.14
i forgot how to run,8,161,4.97%,7.82
haralambous,7,1654,0.42%,7.87
no one gives a shit about you,7,336,2.08%,5.82
greig jansen,7,253,2.77%,7.28
mike smollan,7,194,3.61%,6.28
how to get rid of parktown prawns,6,1333,0.45%,7.05
0114306000,6,417,1.44%,7.48
tashmia ismail,6,79,7.59%,13.01
how to get rid of parktown prawns naturally,5,67,7.46%,7.81
minki naked,5,32,15.62%,3.81
nokia n96,4,5299,0.08%,17.27
camel packaging,4,771,0.52%,7.33
nobody gives a damn about you,4,416,0.96%,6.92
socially acceptable behaviour,4,348,1.15%,9.5
kyle redelinghuys,4,253,1.58%,8.33
ory okolloh husband,4,133,3.01%,7.61
minki nude,4,63,6.35%,8.33
socially accepted behavior,3,343,0.87%,9.77
danie krugel,3,192,1.56%,17.07
slow hustle,3,34,8.82%,40.76
nick haralambous,3,22,13.64%,1.82
seth rotherham,3,12,25%,22.33
jack parow dans dans dans,2,432,0.46%,9.88
my coke fest 2009 lineup,2,352,0.57%,5.77
atheist bus campaign,2,346,0.58%,10.78
why do people turn off blue ticks on whatsapp,2,241,0.83%,6.89
frentor,2,240,0.83%,4.44
forgot how to run,2,228,0.88%,9.81
sam beckbessinger,2,226,0.88%,15.56
jaded ink,2,204,0.98%,10.97
advice for 40 year olds,2,181,1.1%,8.08
socially appropriate behavior,2,134,1.49%,56.19
sony bravia paint advert,2,123,1.63%,13.49
sony xperia phablet,2,104,1.92%,10.18
pronto condom,2,100,2%,7.22
socially acceptable behaviors,2,84,2.38%,9.96
fall out boy south africa,2,79,2.53%,6.95
taylor momsen nike ad,2,74,2.7%,11.18
leana de beer,2,7,28.57%,13.86
parktown prawn predators,2,2,100%,2
picasa web albums,1,1958,0.05%,23.4
n96 nokia,1,1374,0.07%,17.93
socially acceptable behavior,1,780,0.13%,12.06
how to keep parktown prawns out of the house,1,739,0.14%,9.14
add credit card as beneficiary,1,658,0.15%,10.29
life advice from a 40 year old,1,454,0.22%,8.43
snowflake society meaning,1,333,0.3%,9.2
it's just business meaning,1,298,0.34%,7.78
kill me stephen white,1,232,0.43%,9.35
no one gives a shit,1,230,0.43%,14.25
michael joubert,1,227,0.44%,8.53
technorati,1,224,0.45%,34.71
40 year old me,1,219,0.46%,3.6
life advice for 40 year olds,1,188,0.53%,9.25
just business meaning,1,184,0.54%,8.59
parktown prawns,1,181,0.55%,39.2
adrian saville,1,176,0.57%,15.24
modern day poets,1,173,0.58%,18.14
teazers,1,145,0.69%,44.26
flickr pro account,1,140,0.71%,12.1
teazers rivonia photos,1,135,0.74%,5.3
nobody gives a fuck about me,1,126,0.79%,11.68
avril lavigne drugs,1,118,0.85%,31.14
sony phablet,1,114,0.88%,11.69
how to kill prawns,1,92,1.09%,8.61
binnelanders time slot,1,92,1.09%,8.86
ory okolloh,1,91,1.1%,50.03
what the bleep do we know,1,89,1.12%,29.87
canadian snipers in afghanistan,1,73,1.37%,16
no body gives a shit,1,65,1.54%,6.38
nobody gives a fuck about you,1,59,1.69%,12.37
coke fest south africa,1,52,1.92%,7.25
burke urban dictionary,1,46,2.17%,14.63
blogs in south africa,1,38,2.63%,92.47
sony bravia bouncy balls making of,1,31,3.23%,21.23
cape town street parking rates,1,28,3.57%,9.21
